Gene	annotation	synonym
b0200	D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase	gmhB
b0207	methylglyoxal reductase DkgB	dkgB
b0208	putative LysR family transcriptional regulator YafC	yafC
b0209	endonuclease/exonuclease/phosphatase domain-containing protein YafD	yafD
b0210	putative S-adenosylmethionine-dependent methyltransferase	yafE
b0211	membrane-bound lytic murein transglycosylase D	mltD
b0212	hydroxyacylglutathione hydrolase GloB	gloB
b0213	putative S-adenosyl-L-methionine-dependent methyltransferase	yafS
b0214	ribonuclease HI	rnhA
b0215	DNA polymerase III subunit epsilon	dnaQ
b0217	lipoprotein YafT	yafT
b4586	uncharacterized protein YkfM	ykfM
b0218	putative inner membrane protein	yafU
b4503	putative uncharacterized protein YafF	yafF
b0219	2-oxoglutaramate amidase	yafV
b0220	periplasmic chaperone%2C inhibitor of vertebrate C-type lysozyme	ivy
b0221	acyl-CoA dehydrogenase	fadE
b0222	D-sedoheptulose 7-phosphate isomerase	lpcA
b0223	putative amidotransferase	yafJ
b0224	L%2CD-transpeptidase domain-containing protein YafK	yafK
b0225	ribosome-dependent mRNA interferase toxin YafQ	yafQ
b0226	antitoxin/DNA-binding transcriptional repressor DinJ	dinJ
b0227	NlpC/P60 family protein YafL	yafL
b0228	REP-associated tyrosine transposase	rayT
b0229	flagellar system protein%2C promoterless fragment	lfhA
b0230	flagellar system protein%2C promoterless fragment	lafU
b0231	DNA polymerase IV	dinB
b0232	antitoxin YafN	yafN
b0233	ribosome-dependent mRNA interferase toxin YafO	yafO
b0234	putative acyltransferase with acyl-CoA N-acyltransferase domain	yafP
b0235	conserved protein YkfJ	ykfJ
b0236	putative peptide chain release factor	prfH
b0237	peptidase D	pepD
b0238	xanthine-guanine phsophoribosyltransferase	gpt
b0239	fermentation-respiration switch protein	frsA
b0240	RNA polymerase holoenzyme assembly factor Crl	crl
b4710	IS1 transposase B	insB9
b4709	IS1 repressor TnpA	insA9
b0241	outer membrane porin PhoE	phoE
b0242	glutamate 5-kinase	proB
b0243	glutamate-5-semialdehyde dehydrogenase	proA
b4626	YdiA family protein	ykfN
b0245	CP4-6 prophage%3B toxin of the YkfI-YafW toxin-antitoxin system	ykfI
b0246	antitoxin of the YkfI-YafW toxin-antitoxin pair	yafW
b4504	DUF987 domain-containing protein YkfH	ykfH
b0247	CP4-6 prophage%3B RadC-like JAB domain-containing protein YkfG	ykfG
b0248	CP4-6 prophage%3B protein YafX	yafX
b0249	CP4-6 prophage%3B protein YkfF	ykfF
b0250	CP4-6 prophage%3B protein YkfB	ykfB
b0251	CP4-6 prophage%3B inner membrane lipoprotein YafY	yafY
b0252	CP4-6 prophage%3B conserved protein YafZ	yafZ
b0253	CP4-6 prophage%3B putative GTP-binding protein YkfA	ykfA
b0254	putative transcriptional regulator PerR	perR
b4587	CP4-6 prophage%3B IS911A regulator fragment	insN
b0256	IS30 transposase	insI-1
b0258	CP4-6 prophage%3B PF00078 domain-containing protein YkfC	ykfC
b0259	CP4-6 prophage%3B IS5 transposase and trans-activator	insH-1
b0260	S-methyl-L-methionine transporter	mmuP
b0261	homocysteine S-methyltransferase	mmuM
b0262	CP4-6 prophage%3B ABC transporter ATP-binding protein AfuC	afuC
b0263	CP4-6 prophage%3B ABC transporter membrane protein AfuB	afuB
b0264	IS1 protein InsB	insB-2
b0265	IS1 protein InsA	insA-2
b0266	orphan antitoxin YagB	yagB
b0267	CP4-6 prophage%3B integrase core domain-containing protein YagA	yagA
b0268	CP4-6 prophage%3B putative 2-keto-3-deoxygluconate aldolase	yagE
b0269	CP4-6 prophage%3B D-xylonate dehydratase	yagF
b0270	putative D-xylonate transporter YagG	yagG
b0271	CP4-6 prophage%3B putative xylosidase/arabinosidase	yagH
b0272	CP4-6 prophage%3B DNA-binding transcriptional repressor XynR	xynR
b0273	CP4-6 prophage%3B ornithine carbamoyltransferase ArgF	argF
b4688	CP4-6 prophage%3B protein YkgS	ykgS
b0274	IS1 protein InsB	insB-3
b0275	IS1 protein InsA	insA-3
b0276	CP4-6 prophage%3B protein YagJ	yagJ
b0277	CP4-6 prophage%3B uncharacterized protein YagK	yagK
b0278	CP4-6 prophage%3B resolvase-like catalytic domain-containing protein YagL	yagL
b0279	CP4-6 prophage%3B protein YagM	yagM
b4729	protein YkgV	ykgV
b0280	CP4-6 prophage%3B protein YagN	yagN
b0281	CP4-6 prophage%3B putative phage integrase	intF
b0282	putative LysR family substrate binding domain-containing protein YagP	yagP
b0283	molybdenum cofactor insertion chaperone for PaoABC	paoD
b0284	aldehyde dehydrogenase: molybdenum cofactor-binding subunit	paoC
b0285	aldehyde dehydrogenase%2C FAD-binding subunit	paoB
b0286	aldehyde dehydrogenase%2C Fe-S subunit	paoA
b0287	inner membrane protein that contributes to acid resistance	yagU
b0288	putative zinc- or iron-chelating domain-containing protein YkgJ	ykgJ
b0289	putative fimbrial chaperone EcpE	ecpE
b0290	fimbrial adhesin EcpD	ecpD
b0291	putative fimbrial usher protein EcpC	ecpC
b0292	putative fimbrial chaperone EcpB	ecpB
b0293	common pilus major subunit	ecpA
b0294	DNA-binding transcriptional dual regulator MatA	ecpR
b0295	uncharacterized protein YkgL	ykgL
b4506	putative ribosomal protein	ykgO
b0296	putative ribosomal protein	ykgM
b4671	putative membrane protein YkgR	ykgR
b4630	putative oxidoreductase	ykgP
b0297	putative porin domain-containing protein EaeH	eaeH
b0298	IS3 element protein InsE	insE-1
b0299	IS3 element protein InsF	insF-1
b0300	putative DNA-binding transcriptional regulator YkgA	ykgA
b0301	reactive chlorine species resistance protein C	rclC
b0303	DUF1471 domain-containing protein RclB	rclB
b0304	putative pyridine nucleotide-disulfide oxidoreductase RclA	rclA
b0305	DNA-binding transcriptional activator RclR	rclR
b0306	putative lactate utilization oxidoreductase YkgE	ykgE
b0307	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	ykgF
b0308	DUF162 domain-containing lactate utilization protein YkgG	ykgG
b0310	uncharacterized protein YkgH	ykgH
b0311	choline dehydrogenase	betA
b0312	betaine aldehyde dehydrogenase	betB
b0313	DNA-binding transcriptional repressor BetI	betI
b0314	choline:H(+) symporter	betT
b4730	protein YahV	yahV
b0315	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	pdeL
b0316	putative LysR-type DNA-binding transcriptional regulator YahB	yahB
b0317	uncharacterized protein YahC	yahC
b0318	ankyrin repeat-containing protein YahD	yahD
b0319	DUF2877 domain-containing protein YahE	yahE
b0320	putative acyl-CoA synthetase YahF	yahF
b0321	DUF1116 domain-containing protein YahG	yahG
b0322	putative uncharacterized protein YahH	yahH
b0323	carbamate kinase-like protein YahI	yahI
b0324	putative deaminase with metallo-dependent hydrolase domain	yahJ
b0325	aldehyde reductase%2C NADPH-dependent	yahK
b0326	uncharacterized protein YahL	yahL
b0327	uncharacterized protein YahM	yahM
b0328	putative amino acid exporter	yahN
b0329	DUF1471 domain-containing protein YahO	yahO
b0330	DNA-binding transcriptional dual regulator PrpR	prpR
b0331	2-methylisocitrate lyase	prpB
b0333	2-methylcitrate synthase	prpC
b0334	2-methylcitrate dehydratase	prpD
b0335	propionyl-CoA synthetase	prpE
b0336	cytosine transporter	codB
b0337	cytosine/isoguanine deaminase	codA
b0338	DNA-binding transcriptional dual regulator CynR	cynR
b0339	carbonic anhydrase 1	cynT
b0340	cyanase	cynS
b0341	cyanate transporter	cynX
b0342	galactoside O-acetyltransferase	lacA
b0343	lactose permease	lacY
b0344	beta-galactosidase	lacZ
b0345	DNA-binding transcriptional repressor LacI	lacI
b0346	DNA-binding transcriptional activator MhpR	mhpR
b0347	putative 3-(3-hydroxyphenyl)propanoate/3-hydroxycinnamate hydroxylase	mhpA
b0348	3-carboxyethylcatechol 2%2C3-dioxygenase	mhpB
b0349	2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase	mhpC
b0350	2-hydroxypentadienoate hydratase	mhpD
b0351	acetaldehyde dehydrogenase (acylating)	mhpF
b0352	4-hydroxy-2-oxovalerate aldolase	mhpE
b0353	3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter	mhpT
b0354	DUF2058 domain-containing protein YaiL	yaiL
b0355	S-formylglutathione hydrolase FrmB	frmB
b0356	S-(hydroxymethyl)glutathione dehydrogenase	frmA
b0357	DNA-binding transcriptional repressor FrmR	frmR
b0358	outer membrane protein YaiO	yaiO
b4579	putative acyltransferase%2C N-terminal fragment	yaiX
b0360	IS2 element protein InsA	insC-1
b0361	IS2 element protein	insD-1
b0363	putative glucosyltransferase	yaiP
b4731	protein YkiC	ykiC
b0364	putative deacetylase YaiS	yaiS
b0365	taurine ABC transporter periplasmic binding protein	tauA
b0366	taurine ABC transporter ATP binding subunit	tauB
b0367	taurine ABC transporter membrane subunit	tauC
b0368	taurine dioxygenase	tauD
b0369	porphobilinogen synthase	hemB
b4580	putative autotransporter YaiT	yaiT
b0372	IS3 element protein InsF	insF-2
b0373	IS3 element protein InsE	insE-2
b0375	putative DNA-binding transcriptional regulator IprA	iprA
b0376	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	ampH
b0377	peptide antibiotic/peptide nucleic acid transporter	sbmA
b0378	surface-exposed outer membrane lipoprotein	yaiW
b0379	inner membrane protein	yaiY
b0380	DUF2754 domain-containing protein YaiZ	yaiZ
b0381	D-alanine--D-alanine ligase A	ddlA
b0382	anti-adaptor protein for sigma(S) stabilization	iraP
b0383	alkaline phosphatase	phoA
b0384	PsiF family protein	psiF
b0385	diguanylate cyclase DgcC	dgcC
b0386	pyrroline-5-carboxylate reductase	proC
b0387	DUF188 domain-containing protein YaiI	yaiI
b0388	shikimate kinase 2	aroL
b0389	protein YaiA	yaiA
b0390	protein AroM	aroM
b0391	nucleoside phosphorylase PpnP	ppnP
b0392	DUF2773 domain-containing protein YkiA	ykiA
b4732	protein YkiD	ykiD
b0393	nucleoid-associated protein RdgC	rdgC
b0394	manno(fructo)kinase	mak
b0396	putative transport protein AraJ	araJ
b0397	ATP dependent%2C structure specific DNA nuclease - SbcC subunit	sbcC
b0398	ATP dependent%2C structure specific DNA nuclease - SbcD subunit	sbcD
b0399	DNA-binding transcriptional dual regulator PhoB	phoB
b0400	sensory histidine kinase PhoR	phoR
b0401	branched chain amino acid transporter BrnQ	brnQ
b0402	putative transporter ProY	proY
b0403	maltodextrin glucosidase	malZ
b0404	acyl carrier protein phosphodiesterase	acpH
b0405	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase	queA
b0406	tRNA-guanine transglycosylase	tgt
b0407	Sec translocon accessory complex subunit YajC	yajC
b0408	Sec translocon accessory complex subunit SecD	secD
b0409	Sec translocon accessory complex subunit SecF	secF
b0410	HNH nuclease family protein	yajD
b0411	nucleoside-specific channel-forming protein Tsx	tsx
b0412	putative lipoprotein YajI	yajI
b0413	NrdR transcriptional repressor	nrdR
b0414	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase	ribD
b0415	6%2C7-dimethyl-8-ribityllumazine synthase	ribE
b0416	transcription antitermination protein NusB	nusB
b0417	thiamine monophosphate kinase	thiL
b0418	phosphatidylglycerophosphatase A	pgpA
b0419	1-deoxyxylulose-5-phosphate synthase YajO	yajO
b0420	1-deoxy-D-xylulose-5-phosphate synthase	dxs
b0421	geranyl diphosphate/farnesyl diphosphate synthase	ispA
b0422	exodeoxyribonuclease VII subunit XseB	xseB
b0423	tRNA uridine 4-sulfurtransferase	thiI
b0424	protein/nucleic acid deglycase 3	yajL
b0425	2-dehydropantoate 2-reductase	panE
b0426	nucleotide binding protein	yajQ
b0427	putative major facilitator superfamily transport protein YajR	yajR
b0428	heme O synthase	cyoE
b0429	cytochrome bo3 ubiquinol oxidase subunit 4	cyoD
b0430	cytochrome bo3 ubiquinol oxidase subunit 3	cyoC
b0431	cytochrome bo3 ubiquinol oxidase subunit 1	cyoB
b0432	cytochrome bo3 ubiquinol oxidase subunit 2	cyoA
b0433	muropeptide:H(+) symporter	ampG
b0434	putative lipoprotein YajG	yajG
b0435	DNA-binding transcriptional dual regulator BolA	bolA
b0436	trigger factor	tig
b0437	ATP-dependent Clp protease proteolytic subunit	clpP
b0438	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX
b0439	Lon protease	lon
b0440	DNA-binding protein HU-beta	hupB
b0441	periplasmic folding chaperone	ppiD
b0442	helix-hairpin-helix 3 family protein	ybaV
b0443	thioesterase III	fadM
b0444	7-cyano-7-deazaguanine synthase	queC
b0445	putative protein YbaE	ybaE
b0446	HMP-PP phosphatase	cof
b0447	DNA-binding transcriptional activator DecR	decR
b0448	ABC transporter family protein MdlA	mdlA
b0449	ABC transporter family protein MdlB	mdlB
b0450	nitrogen regulator GlnK	glnK
b0451	ammonia/ammonium transporter	amtB
b0452	acyl-CoA thioesterase II	tesB
b0453	PF09619 family lipoprotein YbaY	ybaY
b0454	DNA base-flipping protein	atl
b0456	DUF1428 domain-containing protein YbaA	ybaA
b0457	c-di-GMP phosphodiesterase PdeB	pdeB
b0458	putative inner membrane protein	ylaC
b0459	maltose O-acetyltransferase	maa
b0460	hemolysin expression modulating protein	hha
b0461	protein that modulates Hha toxicity	tomB
b0462	multidrug efflux pump RND permease AcrB	acrB
b0463	multidrug efflux pump membrane fusion lipoprotein AcrA	acrA
b0464	DNA-binding transcriptional repressor AcrR	acrR
b0465	potassium dependent%2C small conductance mechanosensitive channel	mscK
b0466	DUF2496 domain-containing protein YbaM	ybaM
b0467	primosomal replication protein N''	priC
b0468	conserved inner membrane protein YbaN	ybaN
b0469	adenine phosphoribosyltransferase	apt
b0470	DNA polymerase III subunit tau	dnaX
b0471	putative nucleoid-associated protein YbaB	ybaB
b0472	DNA repair protein RecR	recR
b0473	chaperone protein HtpG	htpG
b0474	adenylate kinase	adk
b0475	ferrochelatase	hemH
b0476	acetylesterase	aes
b0477	inosine/guanosine kinase	gsk
b0478	putative transporter YbaL	ybaL
b0479	fosmidomycin efflux pump	fsr
b0480	5'-nucleotidase/UDP-sugar hydrolase	ushA
b0481	Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase	ybaK
b0482	TraB family protein YbaP	ybaP
b0483	putative DNA-binding transcriptional regulator YbaQ	ybaQ
b0484	Cu(+) exporting P-type ATPase	copA
b0485	glutaminase 1	glsA
b0486	putative transporter YbaT	ybaT
b0487	DNA-binding transcriptional dual regulator CueR	cueR
b0488	NfeD-like family protein	ybbJ
b0489	PHB domain-containing protein	qmcA
b0490	putative iron ABC exporter ATP-binding subunit FetA	fetA
b0491	putative iron ABC exporter membrane subunit FetB	fetB
b0492	chaperedoxin	cnoX
b0493	NADP(+)-dependent aldehyde reductase	ybbO
b0494	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	tesA
b0495	putative ABC transporter ATP-binding protein YbbA	ybbA
b0496	putative ABC transporter membrane subunit YbbP	ybbP
b0497	protein RhsD	rhsD
b0498	PF15631 family protein YbbC	ybbC
b0499	putative RHS domain-containing protein YlbH	ylbH
b0501	putative uncharacterized protein YbbD	ybbD
b4632	RHS element protein YlbI	ylbI
b0502	putative DNA-binding transcriptional regulator YlbG	ylbG
b0503	tRNA 2-selenouridine synthase	selU
b0504	DNA-binding transcriptional activator AllS	allS
b0505	ureidoglycolate lyase	allA
b0506	DNA-binding transcriptional repressor AllR	allR
b0507	glyoxylate carboligase	gcl
b0508	hydroxypyruvate isomerase	hyi
b0509	tartronate semialdehyde reductase 2	glxR
b0511	putative allantoin transporter	ybbW
b0512	allantoinase	allB
b0513	putative purine transporter	ybbY
b0514	glycerate 2-kinase 2	glxK
b0515	(S)-ureidoglycine aminohydrolase	allE
b0516	allantoate amidohydrolase	allC
b0517	ureidoglycolate dehydrogenase	allD
b0518	putative acyl-CoA synthetase FdrA	fdrA
b4572	DUF1116 domain-containing protein YlbE	ylbE
b0520	DUF2877 domain-containing protein YlbF	ylbF
b0521	putative carbamate kinase	ybcF
b0522	5-(carboxyamino)imidazole ribonucleotide synthase	purK
b0523	N(5)-carboxyaminoimidazole ribonucleotide mutase	purE
b0524	UDP-2%2C3-diacylglucosamine diphosphatase	lpxH
b0525	peptidyl-prolyl cis-trans isomerase B	ppiB
b0526	cysteine--tRNA ligase	cysS
b0527	conserved inner membrane protein YbcI	ybcI
b0528	putative RNA-binding protein YbcJ	ybcJ
b0529	bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase	folD
b0530	putative fimbrial protein SfmA	sfmA
b0531	putative fimbrial chaperone SfmC	sfmC
b0532	putative fimbrial usher protein SfmD	sfmD
b0533	putative fimbrial adhesin protein SfmH	sfmH
b0534	putative fimbrial protein SfmF	sfmF
b0535	putative LuxR family transcriptional regulator FimZ	fimZ
b0537	DLP12 prophage%3B putative integrase	intD
b4633	excisionase	xisD
b0539	DLP12 prophage%3B putative exonuclease ExoD	exoD
b0542	DLP12 prophage%3B protein RenD	renD
b0540	DLP12 prophage%3B IS3 element protein InsE	insE-3
b0541	DLP12 prophage%3B IS3 element protein InsF	insF-3
b0543	multidrug/betaine/choline efflux transporter EmrE	emrE
b4733	protein YlcJ	ylcJ
b0544	DLP12 prophage%3B putative recombinase	ybcK
b0545	DLP12 prophage%3B periplasmic protein YbcL	ybcL
b0546	DLP12 prophage%3B putative DNA-binding transcriptional regulator	ybcM
b4588	DLP12 prophage%3B uncharacterized protein YlcH	ylcH
b0547	DLP12 prophage%3B DNA base-flipping protein	ybcN
