Gene	seqnames	old_locus_tag	start	end	strand
b4727	yacM		113244	113288	+
b0104	guaC		113444	114487	+
b0106	hofC		114522	115724	-
b0107	hofB		115714	117099	-
b0108	ppdD		117109	117549	-
b0109	nadC		117752	118645	-
b0110	ampD		118733	119284	+
b0111	ampE		119281	120135	+
b0112	aroP		120178	121551	-
b0113	pdhR		122092	122856	+
b0114	aceE		123017	125680	+
b0115	aceF		125695	127587	+
b0116	lpd		127912	129336	+
b0117	yacH		129407	131260	-
b0118	acnB		131615	134212	+
b0119	yacL		134388	134750	+
b0120	speD		134788	135582	-
b0121	speE		135598	136464	-
b0122	yacC		136570	136917	-
b0123	cueO		137083	138633	+
b0124	gcd		138835	141225	-
b0125	hpt		141431	141967	+
b0126	can		142008	142670	-
b0127	yadG		142779	143705	+
b0128	yadH		143702	144472	+
b0129	yadI		144577	145017	+
b0130	yadE		145081	146310	+
b0131	panD		146314	146694	-
b0132	rpnC		146968	147870	+
b0133	panC		147944	148795	-
b0134	panB		148807	149601	-
b0135	yadC		149715	150953	-
b0136	yadK		151003	151599	-
b0137	yadL		151626	152231	-
b0138	yadM		152243	152812	-
b0139	htrE		152829	155426	-
b0140	yadV		155461	156201	-
b0141	yadN		156299	156883	-
b0142	folK		157253	157732	-
b0143	pcnB		157729	159126	-
b0144	gluQ		159186	160112	-
b0145	dksA		160149	160604	-
b0146	sfsA		160782	161486	-
b0147	thpR		161501	162031	-
b0148	hrpB		162105	164534	+
b0149	mrcB		164730	167264	+
b0150	fhuA		167484	169727	+
b0151	fhuC		169778	170575	+
b0152	fhuD		170575	171465	+
b0153	fhuB		171462	173444	+
b0154	hemL		173602	174882	-
b0155	clcA		175107	176528	+
b4728	yadW		176552	176617	+
b0156	erpA		176610	176954	+
b0157	yadS		177001	177624	-
b0158	btuF		177662	178462	-
b0159	mtn		178455	179153	-
b0160	dgt		179237	180754	+
b0161	degP		180884	182308	+
b0162	cdaR		182463	183620	+
b0163	yaeH		183709	184095	-
b0164	yaeI		184257	185069	-
b0166	dapD		185123	185947	-
b0167	glnD		185978	188650	-
b0168	map		188712	189506	-
b0169	rpsB		189874	190599	+
b0170	tsf		190857	191708	+
b0171	pyrH		191855	192580	+
b0172	frr		192872	193429	+
b0173	dxr		193521	194717	+
b0174	ispU		194903	195664	+
b0175	cdsA		195677	196534	+
b0176	rseP		196546	197898	+
b0177	bamA		197928	200360	+
b0178	skp		200482	200967	+
b0179	lpxD		200971	201996	+
b0180	fabZ		202101	202556	+
b0181	lpxA		202560	203348	+
b0182	lpxB		203348	204496	+
b0183	rnhB		204493	205089	+
b0184	dnaE		205126	208608	+
b0185	accA		208621	209580	+
b0186	ldcC		209679	211820	+
b0187	yaeR		211877	212266	+
b0188	tilS		212331	213629	+
b0189	rof		213678	213932	-
b4406	yaeP		213925	214125	-
b0190	yaeQ		214291	214836	+
b0191	arfB		214833	215255	+
b0192	nlpE		215269	215979	+
b0193	yaeF		216179	217003	-
b0194	proS		217057	218775	-
b0195	trmO		218887	219594	-
b0196	rcsF		219591	219995	-
b0197	metQ		220113	220928	-
b0198	metI		220968	221621	-
b0199	metN		221614	222645	-
b0200	gmhB		222833	223408	+
b0207	dkgB		229167	229970	+
b0208	yafC		229967	230881	-
b0209	yafD		231122	231922	+
b0210	yafE		231926	232549	+
b0211	mltD		232597	233955	-
b0212	gloB		234027	234782	-
b0213	yafS		234816	235538	+
b0214	rnhA		235535	236002	-
b0215	dnaQ		236067	236798	+
b0217	yafT		237335	238120	+
b4586	ykfM		238257	238736	-
b0218	yafU		238746	239084	-
b4503	yafF		239190	239378	+
b0219	yafV		239419	240189	-
b0220	ivy		240343	240816	+
b0221	fadE		240859	243303	-
b0222	lpcA		243543	244121	+
b0223	yafJ		244327	245094	+
b0224	yafK		245065	245805	-
b0225	yafQ		245961	246239	-
b0226	dinJ		246242	246502	-
b0227	yafL		246712	247461	+
b0228	rayT		247637	248134	+
b0229	lfhA		248358	250070	-
b0230	lafU		250072	250827	+
b0231	dinB		250898	251953	+
b0232	yafN		252005	252298	+
b0233	yafO		252301	252699	+
b0234	yafP		252709	253161	+
b0235	ykfJ		253467	253733	+
b0236	prfH		253702	254202	+
b0237	pepD		254259	255716	-
b0238	gpt		255977	256435	+
b0239	frsA		256527	257771	+
b0240	crl		257829	257899	+
b4710	insB9		257923	258426	-
b4709	insA9		258345	258620	-
b0241	phoE		259045	260100	-
b0242	proB		260388	261491	+
b0243	proA		261503	262756	+
b4626	ykfN		263150	263212	-
b0245	ykfI		263328	263669	-
b0246	yafW		263690	264007	-
b4504	ykfH		264026	264247	-
b0247	ykfG		264256	264732	-
b0248	yafX		264748	265206	-
b0249	ykfF		265304	265543	-
b0250	ykfB		265620	266087	-
b0251	yafY		266110	266553	-
b0252	yafZ		267184	268005	-
b0253	ykfA		268097	268960	-
b0254	perR		269289	270182	-
b4587	insN		270278	270540	+
b0256	insI-1		270603	271754	+
b0258	ykfC		272847	273992	+
b0259	insH-1		274101	275117	-
b0260	mmuP		275325	276728	+
b0261	mmuM		276715	277647	+
b0262	afuC		277756	278802	-
b0263	afuB		278814	279162	-
b0264	insB-2		279178	279681	-
b0265	insA-2		279600	279875	-
b0266	yagB		280385	280735	-
b0267	yagA		280829	281983	-
b0268	yagE		282278	283186	+
b0269	yagF		283201	285168	+
b0270	yagG		285395	286777	+
b0271	yagH		286789	288399	+
b0272	xynR		288404	289162	-
b0273	argF		289301	290305	-
b4688	ykgS		290510	290638	+
b0274	insB-3		290649	291152	-
b0275	insA-3		291071	291346	-
b0276	yagJ		291500	292231	+
b0277	yagK		292322	292948	-
b0278	yagL		293220	293918	-
b0279	yagM		293945	294799	-
b4729	ykgV		294918	295142	-
b0280	yagN		295139	295579	-
b0281	intF		295696	297096	-
b0282	yagP		297381	297791	-
b0283	paoD		297770	298726	-
b0284	paoC		298736	300934	-
b0285	paoB		300931	301887	-
b0286	paoA		301884	302573	-
b0287	yagU		302991	303605	+
b0288	ykgJ		303853	304182	-
b0289	ecpE		304495	305205	-
b0290	ecpD		305174	306817	-
b0291	ecpC		306807	309332	-
b0292	ecpB		309358	310026	-
b0293	ecpA		310084	310671	-
b0294	ecpR		310746	311336	-
b0295	ykgL		312112	312339	+
b4506	ykgO		312374	312514	-
b0296	ykgM		312514	312777	-
b4671	ykgR		313141	313242	-
b4630	ykgP		313716	313805	-
b0297	eaeH		314357	315244	+
b0298	insE-1		315291	315590	+
b0299	insF-1		315587	316453	+
b0300	ykgA		316450	317136	-
b0301	rclC		317726	318319	-
b0303	rclB		318331	318567	-
b0304	rclA		318676	320001	-
b0305	rclR		320227	321081	+
b0306	ykgE		321608	322327	+
b0307	ykgF		322338	323765	+
b0308	ykgG		323758	324453	+
b0310	ykgH		324696	325364	-
b0311	betA		325577	327247	-
b0312	betB		327261	328733	-
b0313	betI		328747	329334	-
b0314	betT		329463	331496	+
b4730	yahV		331802	331876	+
b0315	pdeL		332371	333459	+
b0316	yahB		333501	334433	-
b0317	yahC		334525	335022	-
b0318	yahD		335280	335885	+
b0319	yahE		335925	336788	+
b0320	yahF		336778	338325	+
b0321	yahG		338325	339743	+
b0322	yahH		339793	340089	+
b0323	yahI		340165	341115	+
b0324	yahJ		341125	342507	+
b0325	yahK		342884	343933	+
b0326	yahL		344176	344991	+
b0327	yahM		345404	345649	+
b0328	yahN		345666	346337	-
b0329	yahO		346484	346759	+
b0330	prpR		346857	348443	-
b0331	prpB		348682	349572	+
b0333	prpC		350012	351181	+
b0334	prpD		351215	352666	+
b0335	prpE		352706	354592	+
b0336	codB		354922	356181	+
b0337	codA		356171	357454	+
b0338	cynR		357791	358690	-
b0339	cynT		358799	359458	+
b0340	cynS		359489	359959	+
b0341	cynX		359992	361146	+
b0342	lacA		361249	361860	-
b0343	lacY		361926	363179	-
b0344	lacZ		363231	366305	-
b0345	lacI		366428	367510	-
b0346	mhpR		367587	368420	-
b0347	mhpA		368611	370275	+
b0348	mhpB		370277	371221	+
b0349	mhpC		371239	372105	+
b0350	mhpD		372115	372924	+
b0351	mhpF		372921	373871	+
b0352	mhpE		373868	374881	+
b0353	mhpT		375459	376670	+
b0354	yaiL		376772	377311	+
b0355	frmB		377535	378368	-
b0356	frmA		378462	379571	-
b0357	frmR		379606	379881	-
b0358	yaiO		380069	380842	-
b4579	yaiX		380844	381260	-
b0360	insC-1		381351	381716	+
b0361	insD-1		381674	382579	+
b0363	yaiP		382739	383935	-
b4731	ykiC		383960	384079	+
b0364	yaiS		384059	384616	-
b0365	tauA		385232	386194	+
b0366	tauB		386207	386974	+
b0367	tauC		386971	387798	+
b0368	tauD		387795	388646	+
b0369	hemB		388753	389727	-
b4580	yaiT		390251	391708	+
b0372	insF-2		391739	392605	-
b0373	insE-2		392602	392901	-
b0375	iprA		394506	395129	+
b0376	ampH		395130	396287	-
b0377	sbmA		396639	397859	+
b0378	yaiW		397872	398966	+
b0379	yaiY		399025	399333	-
b0380	yaiZ		399593	399805	+
b0381	ddlA		399829	400923	-
b0382	iraP		401386	401646	+
b0383	phoA		401747	403162	+
b0384	psiF		403281	403601	+
b0385	dgcC		403703	404818	+
b0386	proC		404835	405644	-
b0387	yaiI		405764	406222	+
b0388	aroL		406405	406929	+
b0389	yaiA		406979	407170	+
b0390	aroM		407428	408105	+
b0391	ppnP		408177	408461	+
b0392	ykiA		408609	408950	+
b4732	ykiD		408947	409030	+
b0393	rdgC		409108	410019	-
b0394	mak		410144	411052	+
b0396	araJ		411297	412481	-
b0397	sbcC		412607	415753	-
b0398	sbcD		415750	416952	-
b0399	phoB		417142	417831	+
b0400	phoR		417889	419184	+
b0401	brnQ		419591	420910	+
b0402	proY		420986	422359	+
b0403	malZ		422518	424332	+
b0404	acpH		424337	424918	-
b0405	queA		425011	426081	+
b0406	tgt		426137	427264	+
b0407	yajC		427287	427619	+
b0408	secD		427647	429494	+
b0409	secF		429505	430476	+
b0410	yajD		430605	430952	+
b0411	tsx		431129	432013	-
b0412	yajI		432312	432851	-
b0413	nrdR		433002	433451	+
b0414	ribD		433455	434558	+
b0415	ribE		434647	435117	+
b0416	nusB		435137	435556	+
b0417	thiL		435634	436611	+
b0418	pgpA		436589	437107	+
b0419	yajO		437161	438135	-
b0420	dxs		438315	440177	-
b0421	ispA		440202	441101	-
b0422	xseB		441101	441343	-
b0423	thiI		441549	442997	+
b0424	yajL		443051	443641	-
b0425	panE		443604	444515	-
b0426	yajQ		444683	445174	+
b0427	yajR		445302	446666	-
b0428	cyoE		446815	447705	-
b0429	cyoD		447717	448046	-
b0430	cyoC		448046	448660	-
b0431	cyoB		448650	450641	-
b0432	cyoA		450663	451610	-
b0433	ampG		452070	453545	-
b0434	yajG		453589	454167	-
b0435	bolA		454472	454789	+
b0436	tig		455133	456431	+
b0437	clpP		456677	457300	+
b0438	clpX		457426	458700	+
b0439	lon		458888	461242	+
b0440	hupB		461451	461723	+
b0441	ppiD		461915	463786	+
b0442	ybaV		463937	464308	+
b0443	fadM		464402	464800	+
b0444	queC		464852	465547	-
b0445	ybaE		465612	467312	-
b0446	cof		467412	468230	+
b0447	decR		468383	468841	+
b0448	mdlA		468871	470643	+
b0449	mdlB		470636	472417	+
b0450	glnK		472598	472936	+
b0451	amtB		472966	474252	+
b0452	tesB		474301	475161	-
b0453	ybaY		475379	475951	+
b0454	atl		475982	476371	-
b0456	ybaA		476672	477025	+
b0457	pdeB		477067	478617	-
b0458	ylaC		478781	479251	-
b0459	maa		479367	479918	-
b0460	hha		480090	480308	-
b0461	tomB		480334	480708	-
b0462	acrB		481254	484403	-
b0463	acrA		484426	485619	-
b0464	acrR		485761	486408	+
b0465	mscK		486536	489898	+
b0466	ybaM		490110	490271	-
b0467	priC		490285	490812	-
b0468	ybaN		490882	491259	+
b0469	apt		491412	491963	+
b0470	dnaX		492092	494023	+
b0471	ybaB		494076	494405	+
b0472	recR		494405	495010	+
b0473	htpG		495120	496994	+
b0474	adk		497175	497819	+
b0475	hemH		498055	499017	+
b0476	aes		499014	499973	-
b0477	gsk		500125	501429	+
b0478	ybaL		501562	503238	-
b0479	fsr		503476	504696	-
b0480	ushA		504914	506566	+
b0481	ybaK		506603	507082	-
b0482	ybaP		507286	508080	-
b0483	ybaQ		508218	508559	+
b0484	copA		508875	511379	-
b0485	glsA		511641	512573	+
b0486	ybaT		512576	513868	+
b0487	cueR		513993	514400	+
b0488	ybbJ		514401	514859	-
b0489	qmcA		514856	515773	-
b0490	fetA		515919	516596	+
b0491	fetB		516583	517362	+
b0492	cnoX		517425	518279	-
b0493	ybbO		518340	519149	-
b0494	tesA		519139	519765	-
b0495	ybbA		519733	520419	+
b0496	ybbP		520416	522830	+
b0497	rhsD		523261	527541	+
b0498	ybbC		527581	527949	+
b0499	ylbH		527949	528659	+
b0501	ybbD		528640	529130	+
b4632	ylbI		529497	529592	+
b0502	ylbG		529645	530016	-
b0503	selU		530132	531226	-
b0504	allS		531295	532221	-
b0505	allA		532451	532933	+
b0506	allR		533011	533826	+
b0507	gcl		533916	535697	+
b0508	hyi		535710	536486	+
b0509	glxR		536586	537464	+
b0511	ybbW		537633	539087	+
b0512	allB		539147	540508	+
b0513	ybbY		540565	541866	+
b0514	glxK		541888	543033	+
b0515	allE		543261	544046	-
b0516	allC		544057	545292	-
b0517	allD		545314	546363	-
b0518	fdrA		546680	548347	+
b4572	ylbE		548357	549616	+
b0520	ylbF		549627	550442	+
b0521	ybcF		550439	551332	+
b0522	purK		551527	552594	-
b0523	purE		552591	553100	-
b0524	lpxH		553218	553940	-
b0525	ppiB		553943	554437	-
b0526	cysS		554611	555996	+
b0527	ybcI		556032	556553	-
b0528	ybcJ		556661	556873	-
b0529	folD		556875	557741	-
b0530	sfmA		558212	558754	+
b0531	sfmC		558974	559666	+
b0532	sfmD		559697	562300	+
b0533	sfmH		562336	563319	+
b0534	sfmF		563330	563845	+
b0535	fimZ		563848	564480	-
b0537	intD		564815	565978	-
b4633	xisD		565858	566079	-
b0539	exoD		566098	566361	-
b0542	renD		566684	566776	+
b0540	insE-3		566842	567141	+
b0541	insF-3		567138	568004	+
b0543	emrE		568315	568647	+
b4733	ylcJ		568695	568844	+
b0544	ybcK		568902	570428	+
b0545	ybcL		570893	571444	+
b0546	ybcM		571454	572251	+
b4588	ylcH		572368	572469	+
b0547	ybcN		572466	572921	+
b0548	ninE		572921	573091	+
b0549	ybcO		573084	573374	+
b0550	rusA		573371	573733	+
b4509	ylcG		573730	573870	+
b0551	ybcQ		573956	574339	+
b0553	nmpC		574529	574586	-
b0552	insH-2		574737	575753	-
b0554	essD		577398	577613	+
b0555	rrrD		577613	578110	+
b0556	rzpD		578107	578568	+
b4510	rzoD		578327	578509	+
b0557	borD		578600	578893	-
b0558	ybcV		579184	579594	-
b0559	ybcW		579880	580086	+
b4589	ylcI		580251	580445	-
b0560	nohD		580834	581379	+
b4634	aaaD		581354	581662	+
b0561	tfaD		581534	582097	+
b0562	ybcY		582152	582806	-
b0563	tfaX		582875	583060	+
b0564	appY		583681	584430	+
b0565	ompT		584680	585633	-
b0566	envY		586147	586908	-
b0567	ybcH		587091	587981	-
b0568	nfrA		587982	590954	-
b0569	nfrB		590941	593178	-
b0570	cusS		593328	594770	-
b0571	cusR		594760	595443	-
b0572	cusC		595600	596973	+
b0573	cusF		597131	597463	+
b0574	cusB		597479	598702	+
b0575	cusA		598714	601857	+
b0576	pheP		601959	603335	+
b0577	ybdG		603416	604663	-
b0578	nfsB		604771	605424	-
b0579	ybdF		605518	605886	-
b0580	ybdJ		605951	606199	-
b0581	ybdK		606265	607383	-
b4415	hokE		607836	607988	+
b0582	insL-2		608065	609177	+
b0583	entD		609459	610079	-
b0584	fepA		610254	612494	-
b0585	fes		612737	613939	+
b4511	ybdZ		613942	614160	+
b0586	entF		614157	618038	+
b0587	fepE		618254	619387	+
b0588	fepC		619384	620199	-
b0589	fepG		620196	621188	-
b0590	fepD		621185	622189	-
b0591	entS		622300	623550	+
b0592	fepB		623554	624510	-
b0593	entC		624885	626060	+
b0594	entE		626070	627680	+
b0595	entB		627694	628551	+
b0596	entA		628551	629297	+
b0597	entH		629300	629713	+
b0598	cstA		629894	631999	+
b4512	ybdD		632182	632379	+
b0599	hcxA		632389	633477	-
b0600	ybdL		633586	634746	+
b0601	ybdM		634747	635376	-
b0602	ybdN		635349	636569	-
b0603	ybdO		636716	637618	-
b0604	dsbG		637827	638573	-
b0605	ahpC		638945	639508	+
b0606	ahpF		639753	641318	+
b0607	uspG		641439	641867	-
b0608	ybdR		642088	643326	+
b4734	yldA		643330	643419	-
b0610	rnk		643557	643967	-
b0611	rna		644197	645003	-
b0612	citT		645117	646580	-
b0613	citG		646631	647509	-
b0614	citX		647484	648035	-
b0615	citF		648039	649571	-
b0616	citE		649582	650490	-
b0617	citD		650487	650783	-
b0618	citC		650798	651856	-
b0619	dpiB		652235	653893	+
b0620	dpiA		653862	654542	+
b0621	dcuC		654583	655968	-
b0622	pagP		656557	657117	+
b0623	cspE		657292	657501	+
b0624	crcB		657555	657938	-
b4581	ybeM		658031	658818	+
b0627	tatE		658947	659150	+
b0628	lipA		659251	660216	-
b0629	ybeF		660425	661378	-
b0630	lipB		661637	662278	-
b0631	ybeD		662379	662642	-
b0632	dacA		662752	663963	-
b0633	rlpA		664102	665190	-
b0634	mrdB		665201	666313	-
b0635	mrdA		666316	668217	-
b0636	rlmH		668248	668715	-
b0637	rsfS		668719	669036	-
b0638	cobC		669296	669907	-
b0639	nadD		669931	670572	-
b0640	holA		670574	671605	-
b0641	lptE		671605	672186	-
b0642	leuS		672201	674783	-
b0643	ybeL		675018	675500	+
b0644	ybeQ		675570	676547	-
b0645	ybeR		676711	677418	+
b0646	djlB		677415	678842	+
b0647	ybeT		678852	679406	-
b0648	ybeU		679508	680215	+
b0649	djlC		680212	681663	+
b0650	hscC		681723	683393	-
b0651	rihA		683477	684412	-
b0652	gltL		684530	685255	-
b0653	gltK		685255	685929	-
b0654	gltJ		685929	686669	-
b0655	gltI		686839	687747	-
b0656	insH-3		687997	689013	-
b0657	lnt		689343	690881	-
b0658	ybeX		690906	691784	-
b0659	ybeY		691874	692341	-
b0660	ybeZ		692338	693378	-
b0661	miaB		693531	694955	-
b0662	ubiF		695101	696276	+
b0674	asnB		697513	699177	-
b0675	umpH		699574	700326	-
b0676	nagC		700374	701594	-
b0677	nagA		701603	702751	-
b0678	nagB		702811	703611	-
b0679	nagE		703944	705890	+
b0680	glnS		706093	707757	+
b0681	chiP		708334	709740	+
b0682	chiQ		709790	710116	+
b0683	fur		710200	710646	-
b4637	uof		710639	710725	-
b0684	fldA		710935	711465	-
b0685	ybfE		711605	711898	-
b0686	ybfF		712038	712802	-
b0687	seqA		712987	713532	+
b0688	pgm		713558	715198	+
b0689	ybfP		715412	715906	+
b0691	ybfG		715947	716597	-
b0692	potE		716946	718265	-
b0693	speF		718262	720460	-
b4590	ybfK		720583	720840	+
b0694	kdpE		721056	721733	-
b0695	kdpD		721730	724414	-
b0696	kdpC		724407	724979	-
b0697	kdpB		724988	727036	-
b0698	kdpA		727059	728732	-
b4513	kdpF		728732	728821	-
b0699	ybfA		729134	729340	+
b0700	rhsC		729583	733776	+
b0702	ybfB		733776	734102	+
b0703	ybfO		734220	735653	+
b0704	ybfC		735650	736219	+
b4514	ybfQ		736445	736699	+
b0705	ybfL		736900	737961	+
b0706	ybfD		738092	738853	+
b0707	ybgA		739001	739510	+
b0708	phr		739507	740925	+
b0709	dtpD		741075	742556	-
b0710	ybgI		742827	743570	+
b0711	pxpB		743593	744249	+
b0712	pxpC		744243	745175	+
b0713	pxpA		745165	745899	+
b0714	nei		745935	746726	+
b0715	abrB		746723	747769	-
b0716	ybgO		747921	748982	-
b0717	ybgP		748979	749707	-
b0718	ybgQ		749722	752169	-
b0719	ybgD		752229	752795	-
b0720	gltA		753185	754468	-
b4735	ybgU		754674	754781	-
b0721	sdhC		755177	755566	+
b0722	sdhD		755560	755907	+
b0723	sdhA		755907	757673	+
b0724	sdhB		757689	758405	+
b0726	sucA		758706	761507	+
b0727	sucB		761522	762739	+
b0728	sucC		763014	764180	+
b0729	sucD		764180	765049	+
b0730	mngR		765153	765875	-
b0731	mngA		765984	767960	+
b0732	mngB		767978	770611	+
b0733	cydA		771458	773026	+
b0734	cydB		773042	774181	+
b4515	cydX		774196	774309	+
b0735	ybgE		774309	774602	+
b0736	ybgC		774752	775156	+
b0737	tolQ		775153	775845	+
b0738	tolR		775849	776277	+
b0739	tolA		776342	777607	+
b0740	tolB		777740	779032	+
b0741	pal		779067	779588	+
b0742	cpoB		779598	780389	+
b0750	nadA		782085	783128	+
b0751	pnuC		783166	783885	+
b0752	zitB		783882	784823	-
b0753	ybgS		784937	785317	-
b0754	aroG		785633	786685	+
b0755	gpmA		786843	787595	-
b0756	galM		787797	788837	-
b0757	galK		788831	789979	-
b0758	galT		789983	791029	-
b0759	galE		791039	792055	-
b0760	modF		792316	793788	-
b0761	modE		793856	794644	-
b0762	acrZ		794773	794922	+
b0763	modA		795089	795862	+
b0764	modB		795862	796551	+
b0765	modC		796554	797612	+
b0766	ybhA		797613	798431	-
b0767	pgl		798586	799581	+
b0768	ybhD		799622	800575	-
b0769	ybhH		800759	801811	+
b0770	ybhI		801887	803320	+
b0771	ybhJ		803503	805764	+
b0772	ybhC		805998	807281	-
b0773	ybhB		807433	807909	-
b0774	bioA		807968	809257	-
b0775	bioB		809344	810384	+
b0776	bioF		810381	811535	+
b0777	bioC		811522	812277	+
b0778	bioD		812270	812947	+
b0779	uvrB		813526	815547	+
b0780	ybhK		815739	816647	-
b0781	moaA		817044	818033	+
b0782	moaB		818055	818567	+
b0783	moaC		818570	819055	+
b0784	moaD		819048	819293	+
b0785	moaE		819295	819747	+
b0786	ybhL		819884	820588	+
b0787	ybhM		820793	821506	+
b0788	ybhN		821542	822498	-
b0789	clsB		822498	823739	-
b0790	ybhP		823736	824497	-
b0791	ybhQ		824630	825040	+
b0792	ybhR		825002	826108	-
b0793	ybhS		826119	827252	-
b0794	ybhF		827245	828981	-
b0795	ybhG		828974	829972	-
b0796	cecR		829972	830643	-
b0797	rhlE		830872	832236	+
b0798	ybiA		832468	832950	-
b0799	dinG		833070	835220	+
b0800	ybiB		835248	836210	+
b0801	hcxB		836351	837436	+
b0802	ybiJ		837665	837925	-
b0803	ybiI		838190	838456	-
b0804	ybiX		838530	839207	-
b0805	fiu		839249	841531	-
b0806	mcbA		841796	842056	-
b0807	rlmF		842332	843258	+
b0808	ybiO		843255	845480	-
b0809	glnQ		845741	846463	-
b0810	glnP		846460	847119	-
b0811	glnH		847258	848004	-
b0812	dps		848408	848911	-
b0813	rhtA		849210	850097	-
b4736	yliM		850332	850397	+
b0814	ompX		850450	850965	+
b0815	opgE		851014	852597	-
b4705	mntS		852869	852997	-
b0817	mntR		853183	853650	+
b0818	ybiR		853647	854765	+
b0819	ldtB		854824	855744	-
b0820	ybiT		855963	857555	+
b0821	ybiU		857796	859061	-
b0822	ybiV		859213	860028	-
b0823	ybiW		860174	862606	-
b0824	ybiY		862612	863511	-
b0825	fsaA		863642	864304	+
b0826	moeB		864380	865129	-
b0827	moeA		865129	866364	-
b0828	iaaA		866568	867533	+
b0829	gsiA		867520	869391	+
b0830	gsiB		869411	870949	+
b0831	gsiC		870967	871887	+
b0832	gsiD		871890	872801	+
b0833	pdeI		872979	875327	+
b0834	dgcI		875335	876663	+
b0835	rimO		876710	878035	-
b0836	bssR		878248	878631	+
b0837	yliI		878742	879857	+
b0838	gstB		879854	880480	-
b0839	dacC		880727	881929	+
b0840	deoR		881976	882734	-
b0841	ybjG		882792	883388	-
b0842	mdfA		883673	884905	+
b0843	ybjH		884946	885230	-
b0844	ybjI		885316	886131	-
b0845	ybjJ		886131	887339	-
b0846	rcdA		887423	887959	+
b0847	ybjL		888134	889819	-
b0848	ybjM		890089	890466	+
b0849	grxA		890496	890753	-
b0850	ybjC		890913	891200	+
b0851	nfsA		891184	891906	+
b0852	rimK		891967	892869	+
b0853	ybjN		892957	893433	+
b0854	potF		893784	894896	+
b0855	potG		894991	896124	+
b0856	potH		896134	897087	+
b0857	potI		897084	897929	+
b0858	ybjO		897989	898477	+
b0859	rlmC		898518	899645	+
b0860	artJ		899844	900575	-
b0861	artM		900866	901534	-
b0862	artQ		901534	902250	-
b0863	artI		902257	902988	-
b0864	artP		903006	903734	-
b0865	ybjP		903952	904467	-
